"filename", "language", "C++", "CMake", "YAML", "JSON", "Dart", "Properties", "XML", "Markdown", "Swift", "HTML", "Ruby", "comment", "blank", "total"
"/Users/samharvey/development/flutter_apps/water_tank_insights/lib/ui/views/location_view.dart", "Dart", 0, 0, 0, 0, 273, 0, 0, 0, 0, 0, 0, 19, 14, 306
"/Users/samharvey/development/flutter_apps/water_tank_insights/lib/ui/views/output_view.dart", "Dart", 0, 0, 0, 0, 285, 0, 0, 0, 0, 0, 0, 27, 12, 324
"/Users/samharvey/development/flutter_apps/water_tank_insights/lib/ui/views/roof_catchment_view.dart", "Dart", 0, 0, 0, 0, 411, 0, 0, 0, 0, 0, 0, 28, 33, 472
"/Users/samharvey/development/flutter_apps/water_tank_insights/lib/ui/views/tank_inventory_view.dart", "Dart", 0, 0, 0, 0, 774, 0, 0, 0, 0, 0, 0, 81, 64, 919
"/Users/samharvey/development/flutter_apps/water_tank_insights/lib/ui/views/water_usage_view.dart", "Dart", 0, 0, 0, 0, 514, 0, 0, 0, 0, 0, 0, 29, 40, 583
"/Users/samharvey/development/flutter_apps/water_tank_insights/lib/ui/widgets/constrained_width_widget.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/samharvey/development/flutter_apps/water_tank_insights/lib/ui/widgets/input_field_widget.dart", "Dart", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 7, 43
"/Users/samharvey/development/flutter_apps/water_tank_insights/linux/CMakeLists.txt", "CMake", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"/Users/samharvey/development/flutter_apps/water_tank_insights/linux/flutter/CMakeLists.txt", "CMake", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"/Users/samharvey/development/flutter_apps/water_tank_insights/linux/flutter/generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"/Users/samharvey/development/flutter_apps/water_tank_insights/linux/flutter/generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/samharvey/development/flutter_apps/water_tank_insights/linux/flutter/generated_plugins.cmake", "CMake", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/samharvey/development/flutter_apps/water_tank_insights/linux/runner/CMakeLists.txt", "CMake", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"/Users/samharvey/development/flutter_apps/water_tank_insights/linux/runner/main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/samharvey/development/flutter_apps/water_tank_insights/linux/runner/my_application.cc", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"/Users/samharvey/development/flutter_apps/water_tank_insights/linux/runner/my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/samharvey/development/flutter_apps/water_tank_insights/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 4, 19
