Date : 2025-05-28 11:46:45
Directory : /Users/samharvey/development/flutter_apps/water_tank_insights/lib
Total : 60 files,  -2153 codes, -319 comments, -409 blanks, all -2881 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/samharvey/development/flutter_apps/water_tank_insights/windows/flutter/generated_plugin_registrant.h                      | C++        |         -5 |         -5 |         -6 |        -16 |
| /Users/samharvey/development/flutter_apps/water_tank_insights/windows/flutter/generated_plugins.cmake                            | CMake      |        -20 |          0 |         -6 |        -26 |
| /Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/CMakeLists.txt                                      | CMake      |        -34 |          0 |         -7 |        -41 |
| /Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/flutter_window.cpp                                  | C++        |        -49 |         -7 |        -16 |        -72 |
| /Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/flutter_window.h                                    | C++        |        -20 |         -5 |         -9 |        -34 |
| /Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/main.cpp                                            | C++        |        -30 |         -4 |        -10 |        -44 |
| /Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/resource.h                                          | C++        |         -9 |         -6 |         -2 |        -17 |
| /Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/utils.cpp                                           | C++        |        -54 |         -2 |        -10 |        -66 |
| /Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/utils.h                                             | C++        |         -8 |         -6 |         -6 |        -20 |
| /Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/win32_window.cpp                                    | C++        |       -210 |        -24 |        -55 |       -289 |
| /Users/samharvey/development/flutter_apps/water_tank_insights/windows/runner/win32_window.h                                      | C++        |        -48 |        -31 |        -24 |       -103 |
| Total                                                                                                                            |            |     -2,153 |       -319 |       -409 |     -2,881 |
+----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
